date,fund_label,scheme_code,scheme_name,nav,source,source_quality
2018-02-02,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.176,MFAPI,CACHE_FRESH
2018-02-05,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.1674,MFAPI,CACHE_FRESH
2018-02-06,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.4779,MFAPI,CACHE_FRESH
2018-02-07,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.3659,MFAPI,CACHE_FRESH
2018-02-08,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.4114,MFAPI,CACHE_FRESH
2018-02-09,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.4329,MFAPI,CACHE_FRESH
2018-02-12,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.0425,MFAPI,CACHE_FRESH
2018-02-14,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.0425,MFAPI,CACHE_FRESH
2018-02-15,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.5473,MFAPI,CACHE_FRESH
2018-02-16,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.8104,MFAPI,CACHE_FRESH
2018-02-19,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.4282,MFAPI,CACHE_FRESH
2018-02-20,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.453,MFAPI,CACHE_FRESH
2018-02-21,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.2974,MFAPI,CACHE_FRESH
2018-02-22,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.1323,MFAPI,CACHE_FRESH
2018-02-23,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.8129,MFAPI,CACHE_FRESH
2018-02-26,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.3041,MFAPI,CACHE_FRESH
2018-02-27,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.2369,MFAPI,CACHE_FRESH
2018-02-28,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.2736,MFAPI,CACHE_FRESH
